Fromage a pate molle,325,27.4,19.4,2.2,52.7,1350,51.8
Fromage a raclette,357,27.9,25.9,1.8,41.4,1350,51.8
Fromage bleu ,360,31.5,19.1,3.8,48.9,1350,51.8
Fromage fondu ,247,21.2,14.1,3,51.3,1350,51.8
Fromage rape,406,32.1,29.3,1.7,38.1,1350,51.8
Fruit,54,0.2,0.6,0,85.7,105,230
Fruit de la passion,102,3,2.1,0,73.6,105,230
Gallette de riz ,390,2.8,7.7,0.8,5.8,4067,24
Gateau,430,24.7,6.9,0.2,23.2,230,340
Gibier,115,3.4,21.1,0.2,75.5,4966,540
Grenade,81,1.2,1.4,0,79.4,38,77
Groseille rouge,50,0.7,1.6,0,82.1,153,77
Gruyere,396,32,26.4,1.5,36,1350,51.8
Haricot vert,31,0.2,2.1,0,90.3,75,50
Houmous,204,14,7.3,1.1,64.6,88,145
Huile ,810,90,0,0,0,396,12
dhuile ,810,90,0,0,0,396,12
Jambon ,229,11.5,31,4.4,51.9,1210,56
doeuf,349,31.3,16.4,0.1,52.7,480,5.8
Jaune doeuf,349,31.3,16.4,0.1,52.7,480,5.8
Jaune d'oeuf,349,31.3,16.4,0.1,52.7,480,5.8
Jus de fruit,52,0.1,0.4,0,87.1,105,10
Ketchup,117,0.4,2,2.8,66.7,222,128
Kiwi,58,0.6,0.9,0,83.5,77,51
Lait ,62,3.4,3.2,0.1,88.7,4364,10
Laitue,16,0.3,1.2,0,94.5,53,23
Langoustine,93,1.3,19.6,0.9,75.9,230,230
Langue (moyenne de veau et boeuf),188,12.3,16.6,0.2,68.3,2700,830
Lapin,150,7.5,20.5,0.1,71.1,1200,710
Lard a manger,400,34.3,22.1,3.8,39,130,510
Legume,26,0.3,1.3,0,92.7,130,340
Legumes,26,0.3,1.3,0,92.7,130,130
Mache,23,0.4,2,0,92.8,130,130
Madeleine,346,11.6,7.5,0.3,27.7,130,130
Mais ,93,1.2,3.3,0,74.7,75,29
Mandarine,47,0.2,0.8,0,87,38,28.9
Mangue,68,0.6,0.6,0,81.1,43,18
Margarine,724,80,0.5,0.2,20,333,169
Mascarpone,435,44.5,4.5,0.2,46.2,452,169
Mayonnaise,742,81.7,1.1,1,14.7,293,169
Melon,62,0.1,1.1,0.1,84.2,94,133
Menthe,49,0.7,3.8,0,86.1,69,122
Meringue,401,0.5,5,0.3,1,356,169
Merlu,71,0.3,17,0.2,81.5,1350,169
Miel ,306,0,0.4,0,20,62,169
Milanais,431,20.8,7.1,0.1,18,94,169
Mille-feuille,301,18.8,4.1,0.3,48.1,364,169
Mirabelle,76,0.2,0.6,0,78.1,98,169
Morille,29,0.3,2.5,0,90,233,169
Mortadella,314,27.3,16.1,2.1,55.7,383,169
Moutarde,124,7.7,7.1,4.1,67.8,392,169
Mozzarella,256,19.5,19.5,0.4,58.8,2321,330
Mure,47,0.7,1.1,0,86.1,153,84
Myrtille,52,0.3,0.9,0,85.7,153,8.4
Nectar d'orange,44,0,0.4,0,88.2,38,79
Nectarine,55,0.3,1,0,86.1,38,79
Noisette,661,59.5,16.4,0,4,251,52
Noix,709,67.3,15.7,0,4,597,1400
Noix de cajou,593,45.2,21.5,0,4.6,600,1400
Noix de coco,384,36.5,4.6,0.1,43.9,700,1400
Oeuf,140,9.8,12.6,0.4,76,480,5.8
Oignon,39,0.2,1.3,0,89,54,72
Olive noire,176,17.2,1.4,1.8,74.9,91,3.2
Olive verte,154,15.7,1.3,3.2,75.8,91,3.2
Orange,45,0.2,0.8,0,87.3,38,56
Pain ,264,4.6,9.2,1.6,38.7,952,11.12
Pamplemousse ,42,0.5,0.9,0,88.6,38,130
Panais,62,0.4,1.3,0,81.8,38,130
Papaye,44,0.1,0.5,0,87.9,38,130
Paprika,358,13,14.8,0.1,9.3,38,130
Parmesan,401,31,30.5,1.6,31.4,38,130
Pasteque,37,0.1,0.7,0,91,38,130
Patate douce,81,0.1,1.6,0.1,77.3,38,130
